Player ID;Name;Card Title;Club;Nation;League;Foot;Skill Moves;Weak Foot;AcceleRATE;Height;Att/Def. WR;Age;Player Card Image;Player Card Link;Pace;Acceleration;Sprint Speed;AcceleRATE_1;Shooting;Positioning;Finishing;Shot Power;Long Shots;Volleys;Penalties;Passing;Vision;Crossing;FK Accuracy;Short Passing;Long Passing;Curve;Dribbling;Agility;Balance;Reactions;Ball Control;Dribbling_2;Composure;Defending;Interceptions;Heading Accuracy;Defensive Awareness;Standing Tackle;Sliding_Tackle_list;Physicality;Jumping;Stamina;Strength_list;AggressionLowest BIN;Last Update;Price Range;Average BIN (24h);Cheapest Sale (24h);Discard Value
275243;Mia Hamm;Mia Hamm Icon 93 OVR;Icon;United States;Icon;Right;5 ★;5 ★;Controlled explosive;165cm | 5'5';High/Medium;51;https://game-assets.fut.gg/cdn-cgi/image/quality=80,format=auto,width=200/2024/cards/futgg-cards/275243.4.webp;https://www.fut.gg/players/275243-mia-hamm/24-275243/;92;93;91;Controlled Explosive;93;94;94;94;93;90;89;86;88;77;90;90;86;85;92;88;90;94;92;93;90;54;55;84;45;54;51;81;83;88;82;68;;;;;
275276;Birgit Prinz;Birgit Prinz Icon 92 OVR;Icon;Germany;Icon;Right;3 ★;4 ★;Controlled;179cm | 5'10';High/Medium;46;https://game-assets.fut.gg/cdn-cgi/image/quality=80,format=auto,width=200/2024/cards/futgg-cards/275276.4.webp;https://www.fut.gg/players/275276-birgit-prinz/24-275276/;83;81;84;Controlled;92;94;94;94;89;91;83;80;84;70;82;87;70;77;82;60;66;90;88;83;89;52;45;93;46;53;41;88;83;82;94;81;;;;;
50558851;Alexia Putellas Segura;Alexia Putellas Nike 91 OVR;FC Barcelona;Spain;Liga F;Left;5 ★;5 ★;Mostly explosive;173cm | 5'8';High/Medium;29;https://game-assets.fut.gg/cdn-cgi/image/quality=80,format=auto,width=200/2024/cards/futgg-cards/50558851.webp;https://www.fut.gg/players/227203-alexia-putellas/24-50558851/;82;81;82;Mostly Explosive;90;91;91;86;89;90;91;91;91;88;89;94;91;89;92;90;89;92;94;92;92;72;78;74;60;81;64;78;84;85;78;70;;;;;
50558750;Carolina Graham Hansen;Carolina Graham Hansen Trailblazers 91 OVR;FC Barcelona;Norway;Liga F;Right;5 ★;4 ★;Mostly explosive;178cm | 5'10';High/Medium;28;https://game-assets.fut.gg/cdn-cgi/image/quality=80,format=auto,width=200/2024/cards/futgg-cards/50558750.webp;https://www.fut.gg/players/227102-carolina-graham-hansen/24-50558750/;90;91;89;Mostly Explosive;87;88;87;89;90;84;72;89;90;91;78;90;85;91;91;95;76;84;91;94;85;48;36;73;46;51;47;76;85;85;75;67;;;;;
227203;Alexia Putellas Segura;Alexia Putellas Rare 91 OVR;FC Barcelona;Spain;Liga F;Left;5 ★;5 ★;Mostly explosive;173cm | 5'8';High/Medium;29;https://game-assets.fut.gg/cdn-cgi/image/quality=80,format=auto,width=200/2024/cards/futgg-cards/227203.12.webp;https://www.fut.gg/players/227203-alexia-putellas/24-227203/;82;81;82;Mostly Explosive;90;91;91;86;89;90;91;91;91;88;89;94;91;89;92;90;89;92;94;92;92;72;78;74;60;81;64;78;84;85;78;70;;;;;
227006;Homare Sawa;Homare Sawa Icon 91 OVR;Icon;Japan;Icon;Right;4 ★;4 ★;Mostly explosive;165cm | 5'5';High/High;45;https://game-assets.fut.gg/cdn-cgi/image/quality=80,format=auto,width=200/2024/cards/futgg-cards/227006.3.webp;https://www.fut.gg/players/227006-homare-sawa/24-227006/;84;88;81;Mostly Explosive;87;91;92;79;89;74;81;91;91;86;79;94;93;86;91;88;82;91;92;91;93;83;83;87;82;86;68;76;78;92;69;71;;;;;
241667;Aitana Bonmatí Conca;Aitana Bonmatí Rare 90 OVR;FC Barcelona;Spain;Liga F;Right;4 ★;5 ★;Mostly explosive;161cm | 5'3';High/High;25;https://game-assets.fut.gg/cdn-cgi/image/quality=80,format=auto,width=200/2024/cards/futgg-cards/241667.12.webp;https://www.fut.gg/players/241667-aitana-bonmati/24-241667/;81;82;80;Mostly Explosive;84;91;91;69;89;62;70;83;90;67;67;91;87;76;91;93;86;91;91;91;85;75;88;54;70;81;67;73;75;80;75;60;;;;;
227102;Carolina Graham Hansen;Carolina Graham Hansen Rare 90 OVR;FC Barcelona;Norway;Liga F;Right;5 ★;4 ★;Mostly explosive;178cm | 5'10';High/Medium;28;https://game-assets.fut.gg/cdn-cgi/image/quality=80,format=auto,width=200/2024/cards/futgg-cards/227102.11.webp;https://www.fut.gg/players/227102-carolina-graham-hansen/24-227102/;89;90;88;Mostly Explosive;86;87;86;88;89;83;71;88;89;90;77;89;84;90;90;94;75;83;90;93;84;47;35;71;45;50;46;75;84;84;74;66;;;;;
227125;Samantha May Kerr;Samantha May Kerr Rare 90 OVR;Chelsea;Australia;Barclays Women’s Super League;Right;4 ★;4 ★;Controlled;168cm | 5'6';High/High;30;https://game-assets.fut.gg/cdn-cgi/image/quality=80,format=auto,width=200/2024/cards/futgg-cards/227125.13.webp;https://www.fut.gg/players/227125-samantha-may-kerr/24-227125/;85;86;84;Controlled;88;92;92;85;85;92;71;74;79;70;68;78;67;76;90;90;82;89;91;90;91;42;24;93;44;39;30;85;95;87;88;70;;;;;
50558773;Samantha May Kerr;Samantha May Kerr Nike 90 OVR;Chelsea;Australia;Barclays Women’s Super League;Right;4 ★;4 ★;Controlled;168cm | 5'6';High/High;30;https://game-assets.fut.gg/cdn-cgi/image/quality=80,format=auto,width=200/2024/cards/futgg-cards/50558773.webp;https://www.fut.gg/players/227125-samantha-may-kerr/24-50558773/;85;86;84;Controlled;88;92;92;85;85;92;71;74;79;70;68;78;67;76;90;90;82;89;91;90;91;42;24;93;44;39;30;85;95;87;88;70;;;;;
